"","State","county","fips","pred","with_without"
"149","Arkansas","Saline County",5125,-75,"with"
"150","Arkansas","Scott County",5127,-82,"with"
"151","Arkansas","Searcy County",5129,-58,"with"
"152","Arkansas","Sebastian County",5131,-73,"with"
"153","Arkansas","Sevier County",5133,-61,"with"
"154","Arkansas","Sharp County",5135,-74,"with"
"155","Arkansas","Stone County",5137,-51,"with"
"156","Arkansas","Union County",5139,-71,"with"
"157","Arkansas","Van Buren County",5141,-56,"with"
"158","Arkansas","Washington County",5143,-66,"with"
"159","Arkansas","White County",5145,-59,"with"
"160","Arkansas","Woodruff County",5147,-41,"with"
"161","Arkansas","Yell County",5149,-47,"with"
"162","California","Alameda County",6001,-100,"with"
"163","California","Amador County",6005,-99,"with"
"164","California","Butte County",6007,-100,"with"
"165","California","Calaveras County",6009,-98,"with"
"166","California","Colusa County",6011,-99,"with"
"167","California","Contra Costa County",6013,-100,"with"
"168","California","Del Norte County",6015,-98,"with"
"169","California","El Dorado County",6017,-96,"with"
"170","California","Fresno County",6019,-99,"with"
"171","California","Glenn County",6021,-95,"with"
"172","California","Humboldt County",6023,-99,"with"
"173","California","Imperial County",6025,-85,"with"
"174","California","Inyo County",6027,-65,"with"
"175","California","Kern County",6029,-99,"with"
"176","California","Kings County",6031,-92,"with"
